ID;Precio (€/mes);Tipo;Telefonos;Ciudad;Dirección;Barrio;Habitaciones;Baños;Area (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
162724955;800;Planta baja;932514359;Sabadell;;;2;2;80;;True;False;False;False;False;False;10.0
162512112;963;Piso;916359276;Sabadell;Carrer de Borrell;Centre - Sant Oleguer;3;2;87;2;True;False;False;False;False;False;11.068965517241379
163067768;850;Piso;931347231;Sabadell;;;3;1;90;;False;False;False;True;False;False;9.444444444444445
161624133;800;Dúplex;935430216;Sabadell;;;2;1;85;1;True;False;False;False;False;False;9.411764705882353
160083593;850;Piso;931338329;Sabadell;;;4;2;110;1;False;True;False;False;False;False;7.7272727272727275
162962944;900;Casa adosada;931338329;Sabadell;;;;1;134;;False;False;False;False;False;False;6.7164179104477615
162922892;1900;Casa adosada;932821784;Sabadell;;;5;2;230;;False;True;False;False;False;False;8.26086956521739
162790404;1600;Piso;932829126;Sabadell;;;3;2;100;7;True;False;False;False;False;False;16.0
162688989;850;Piso;931334195;Sabadell;;;3;1;77;1;True;False;False;False;False;False;11.03896103896104
162757931;800;Piso;932821916;Sabadell;;;2;1;84;;False;True;False;True;False;False;9.523809523809524
162458228;800;Piso;911799092;Sabadell;Comte de Reus;Centre - Sant Oleguer;2;2;78;1;True;False;False;False;False;False;10.256410256410257
162877970;930;Ático;931337943;Sabadell;;;2;1;124;;True;False;False;True;False;False;7.5
162563675;850;Piso;932821916;Sabadell;;;3;1;90;1;False;False;False;True;False;False;9.444444444444445
163108600;850;Piso;932995783;Sabadell;Joan Morral;Can Feu - Gràcia;2;1;60;1;True;False;False;False;False;False;14.166666666666666
163103400;750;Piso;931348114;Sabadell;Carretera de Terrassa;Concòrdia - Can Rull;3;1;80;8;True;False;False;False;False;False;9.375
163103007;900;Ático;932886536;Sabadell;Alemania;Centre - Sant Oleguer;2;2;75;;True;False;False;True;False;False;12.0
163103006;1200;Piso;932886536;Sabadell;Zamenhof;Centre - Sant Oleguer;5;2;140;;True;True;False;False;False;False;8.571428571428571
163102428;655;Piso;932931531;Sabadell;Drapaires Dels;Creu de Barberà - Sector Sud;4;2;92;4;True;False;False;False;False;False;7.119565217391305
163071401;988;Ático;932931531;Sabadell;Felix Amat de;Centre - Sant Oleguer;1;2;112;2;True;False;False;False;False;False;8.821428571428571
163066429;800;Piso;935433983;Sabadell;;;3;1;90;;True;False;False;True;False;False;8.88888888888889
163065118;600;Apartamento;931338756;Sabadell;Carrer Capmany;Centre - Sant Oleguer;1;1;40;1;True;False;False;False;False;False;15.0
163063642;740;Piso;966530723;Sabadell;Pz Rómulo;Concòrdia - Can Rull;3;1;51;;False;False;False;False;False;False;14.509803921568627
163062036;890;Piso;932938292;Sabadell;;;3;2;85;;True;False;False;False;False;False;10.470588235294118
163059173;850;Piso;932514692;Sabadell;Brutau;Centre - Sant Oleguer;3;2;105;;True;True;False;False;False;False;8.095238095238095
163054133;700;Piso;935430946;Sabadell;;;3;1;70;3;True;False;False;False;False;False;10.0
163053218;800;Piso;931349684;Sabadell;;;2;1;84;;False;False;False;False;False;False;9.523809523809524
162458206;810;Planta baja;911799092;Sabadell;Latorre;Centre - Sant Oleguer;3;2;81;;True;False;False;False;False;False;10.0
163052408;900;Piso;935438401;Sabadell;;;4;2;94;1;True;False;False;False;False;False;9.574468085106384
162172836;930;Piso;966530723;Sabadell;C/ de L´ Estrella;Centre - Sant Oleguer;2;2;94;;True;False;False;False;False;False;9.893617021276595
163027718;700;Piso;931348114;Sabadell;Esglesia Romanica;Creu de Barberà - Sector Sud;3;1;75;;False;True;False;False;False;True;9.333333333333334
162152487;700;Piso;912178214;Sabadell;Albeniz;Concòrdia - Can Rull;2;1;49;;True;False;False;False;False;False;14.285714285714286
162241965;1200;Ático;935430946;Sabadell;;;2;2;75;6;True;False;False;False;False;False;16.0
163011701;1050;Piso;932510736;Sabadell;;;3;2;100;5;True;False;False;False;False;False;10.5
163005505;1500;Dúplex;932823362;Sabadell;Dinares;Creu Alta - Puiggener;4;3;130;;True;True;False;False;False;False;11.538461538461538
163004624;730;Planta baja;932990754;Sabadell;;;3;1;90;;False;True;False;True;False;False;8.11111111111111
163004600;625;Piso;932990754;Sabadell;;;1;1;56;1;True;False;False;False;False;False;11.160714285714286
162513391;850;Piso;932938709;Sabadell;;;3;2;96;2;True;False;False;False;False;False;8.854166666666666
162970825;1000;Ático;935433013;Sabadell;;;2;2;80;1;True;False;False;False;False;False;12.5
162970824;1200;Ático;935433013;Sabadell;;;2;2;105;1;True;False;False;False;False;False;11.428571428571429
162969577;750;Piso;932938867;Sabadell;Carrer del Sol;Centre - Sant Oleguer;2;1;57;2;True;False;False;False;False;False;13.157894736842104
162523578;850;Piso;932515379;Sabadell;;;3;1;83;2;False;False;False;False;False;False;10.240963855421686
159544601;950;Casa adosada;931338329;Sabadell;;;;1;134;;False;False;False;False;False;False;7.08955223880597
162954793;1500;Piso;931337943;Sabadell;;;4;2;270;2;True;False;False;False;False;False;5.555555555555555
162950628;850;Piso;932886536;Sabadell;Vilarrubias;Creu Alta - Puiggener;3;2;90;;True;False;False;False;False;True;9.444444444444445
162872523;1200;Loft;930447195;Sabadell;Carrer Turull;Centre - Sant Oleguer;2;2;120;;True;False;False;True;False;False;10.0
162940693;835;Dúplex;930447608;Sabadell;;;4;2;118;7;True;False;False;False;False;False;7.076271186440678
162939486;789;Piso;932829194;Sabadell;;;2;1;65;1;True;False;False;False;False;False;12.138461538461538
162937457;930;Ático;931348114;Sabadell;Carretera Barcelona;Creu de Barberà - Sector Sud;2;1;124;;True;True;False;False;False;False;7.5
162929200;1150;Piso;932510736;Sabadell;;;2;2;95;10;True;False;False;False;False;False;12.105263157894736
162898408;900;Piso;932934212;Sabadell;;;2;1;52;1;True;False;False;False;False;False;17.307692307692307
162893912;800;Piso;932936063;Sabadell;;;2;1;73;4;True;False;False;False;False;False;10.95890410958904
162890235;675;Piso;966530723;Sabadell;C/ Claustre;Poble Nou - Torre-romeu - Can Roqueta;3;1;56;;False;False;False;False;False;False;12.053571428571429
158885478;885;Piso;935436329;Sabadell;;;3;1;82;;True;False;False;False;False;True;10.792682926829269
162878918;780;Piso;966530723;Sabadell;C/ Joaquin Sorolla;Concòrdia - Can Rull;3;1;71;;False;False;False;False;False;False;10.985915492957746
162860344;1180;Piso;932937217;Sabadell;Onze de Setembre;Creu Alta - Puiggener;4;2;156;;True;False;False;True;False;False;7.564102564102564
162367100;850;Piso;932938709;Sabadell;;;3;1;83;1;False;False;False;False;False;False;10.240963855421686
162826124;1300;Piso;932938715;Sabadell;Ronda de Zamenhof;Centre - Sant Oleguer;4;2;134;;True;False;True;False;False;False;9.701492537313433
162184146;800;Piso;931346459;Sabadell;;;2;1;85;;True;False;False;False;False;False;9.411764705882353
162819607;950;Piso;932931531;Sabadell;Balmes de;Centre - Sant Oleguer;3;2;178;1;True;False;False;False;False;False;5.337078651685394
162961396;660;Casa o chalet;953114539;Jaén Capital;;;3;2;103;;False;True;False;True;False;False;6.407766990291262
163015034;550;Piso;953115713;Jaén Capital;;;3;2;110;7;True;False;False;False;False;False;5.0
162990948;700;Piso;953115713;Jaén Capital;;;3;2;70;4;True;False;False;False;False;False;10.0
162970216;37000;Apartamento;953115713;Jaén Capital;;;1;1;38;;False;False;False;False;False;True;973.6842105263158
162956896;450;Piso;953115713;Jaén Capital;;;3;1;80;;True;False;False;False;False;False;5.625
162953609;550;Piso;953113786;Jaén Capital;;;3;1;80;;False;False;False;True;True;False;6.875
162951936;490;Piso;953380135;Jaén Capital;;;1;1;91;1;False;False;False;True;False;False;5.384615384615385
162946986;550;Piso;953115713;Jaén Capital;;;2;1;65;1;True;False;False;False;False;False;8.461538461538462
162937460;600;Piso;953115713;Jaén Capital;;;2;2;96;3;True;False;False;False;False;False;6.25
162935511;650;Piso;953380135;Jaén Capital;Calle de Sefarad;Hospital;4;2;120;1;True;False;False;False;False;False;5.416666666666667
162894623;180;Piso;953115713;Jaén Capital;;;4;2;120;5;True;False;False;False;False;False;1.5
162739080;690;Casa o chalet;953115713;Jaén Capital;;;2;2;109;;False;True;False;False;False;False;6.330275229357798
163101332;450;Piso;953113786;Jaén Capital;;;3;1;80;;False;False;False;False;False;False;5.625
163100650;180;Piso;953115713;Jaén Capital;;;1;1;90;1;False;False;False;True;False;False;2.0
162696209;600;Piso;953115713;Jaén Capital;;;2;2;105;2;False;False;False;True;False;False;5.714285714285714
163064309;560;Piso;953115713;Jaén Capital;;;3;2;99;1;True;False;False;False;False;False;5.656565656565657
162854619;450;Piso;952949623;Jaén Capital;Del Sol;San Bartolomé - Millán de Priego;3;1;78;3;True;False;False;False;False;False;5.769230769230769
162630591;690;Piso;953113786;Jaén Capital;;;4;2;154;5;True;False;False;False;False;False;4.48051948051948
163106719;600;Piso;953113543;Jaén Capital;C/ Santo Reino;Avda de Madrid - Pº de la Estación;2;1;62;;True;False;False;True;False;False;9.67741935483871
163106672;500;Piso;953115713;Jaén Capital;;;3;1;90;1;True;False;False;False;False;False;5.555555555555555
163106212;650;Piso;953114231;Jaén Capital;;;2;2;76;2;True;False;False;False;False;False;8.552631578947368
163102100;380;Piso;953114865;Jaén Capital;Calle Andrés Segovia;Avda de Madrid - Pº de la Estación;3;2;80;;False;False;False;False;False;False;4.75
163087279;380;Piso;;Jaén Capital;Calle Andrés Segovia;Avda de Madrid - Pº de la Estación;3;2;80;;False;False;False;False;False;False;4.75
163075505;410;Ático;;Jaén Capital;Calle Maestra;San Felipe - El Almendral - La Merced;2;2;70;;False;False;True;False;False;True;5.857142857142857
163074866;300;Planta baja;;Jaén Capital;Calle Calle Alicante;Peñamefecit - Avda Barcelona;;;17;;False;False;False;False;False;False;17.647058823529413
163074073;570;Piso;;Jaén Capital;Camino de las Cruces;Belén - San Roque;2;2;92;;False;True;True;False;False;False;6.195652173913044
163073655;520;Piso;953114835;Jaén Capital;;;3;2;98;3;True;False;False;False;False;False;5.3061224489795915
163068695;460;Piso;953115713;Jaén Capital;;;1;1;50;2;True;False;False;False;False;False;9.2
163061808;500;Piso;953114869;Jaén Capital;Avenida de Andalucía;Peñamefecit - Avda Barcelona;2;1;75;;True;False;False;False;True;False;6.666666666666667
163056187;600;Piso;953113238;Jaén Capital;;;2;2;105;2;False;False;False;False;True;False;5.714285714285714
163056047;500;Piso;;Jaén Capital;Calle del Doctor Civera;San Bartolomé - Millán de Priego;3;2;95;2;True;False;False;False;False;False;5.2631578947368425
